secu_code,secu_abbr,chi_spelling,listed_date,listed_sector,industry_code,first_industry_name,second_industry_name,third_industry_name
"603017.SH","中衡设计","ZHSJ","2014.12.31",1,"620601","建筑装饰","工程咨询服务Ⅱ","工程咨询服务Ⅲ"
"603018.SH","华设集团","HSJT","2014.10.13",1,"620601","建筑装饰","工程咨询服务Ⅱ","工程咨询服务Ⅲ"
"603019.SH","中科曙光","ZKSG","2014.11.06",1,"710103","计算机","计算机设备","其他计算机设备"
"603020.SH","爱普股份","APGF","2015.03.25",1,"220315","基础化工","化学制品","食品及饲料添加剂"
"603021.SH","山东华鹏","SDHP","2015.04.23",1,"360311","轻工制造","家居用品","其他家居用品"
"603022.SH","新通联","XTL","2015.05.18",1,"360206","轻工制造","包装印刷","综合包装"
"603025.SH","大豪科技","DHKJ","2015.04.22",1,"640702","机械设备","自动化设备","工控设备"
"603027.SH","千禾味业","QHWY","2016.03.07",1,"340901","食品饮料","调味发酵品Ⅱ","调味发酵品Ⅲ"
"603028.SH","赛福天","SFT","2016.03.31",1,"640108","机械设备","通用设备","金属制品"
"603029.SH","天鹅股份","TEGF","2016.04.27",1,"640207","机械设备","专用设备","农用机械"
"603031.SH","安孚科技","AFKJ","2016.08.22",1,"630705","电力设备","电池","蓄电池及其他电池"
"603032.SH","德新科技","DXKJ","2017.01.05",1,"630703","电力设备","电池","锂电专用设备"
"603033.SH","三维股份","SWGF","2016.12.07",1,"220602","基础化工","橡胶","其他橡胶制品"
"603037.SH","凯众股份","KZGF","2017.01.20",1,"280203","汽车","汽车零部件","底盘与发动机系统"
"603040.SH","新坐标","XZB","2017.02.09",1,"280203","汽车","汽车零部件","底盘与发动机系统"
"603041.SH","美思德","MSD","2017.03.30",1,"220313","基础化工","化学制品","聚氨酯"
"603042.SH","华脉科技","HMKJ","2017.06.02",1,"730205","通信","通信设备","通信线缆及配套"
"603045.SH","福达合金","FDHJ","2018.05.17",1,"240201","有色金属","金属新材料","其他金属新材料"
"603048.SH","浙江黎明","ZJLM","2021.11.16",1,"280205","汽车","汽车零部件","其他汽车零部件"
"603051.SH","鹿山新材","LSXC","2022.03.25",1,"220317","基础化工","化学制品","胶黏剂及胶带"
"603052.SH","可川科技","KCKJ","2022.10.11",1,"270504","电子","消费电子","消费电子零部件及组装"
"603053.SH","成都燃气","CDRQ","2019.12.17",1,"410301","公用事业","燃气Ⅱ","燃气Ⅲ"
"603057.SH","紫燕食品","ZYSP","2022.09.26",1,"340803","食品饮料","休闲食品","熟食"
"603058.SH","永吉股份","YJGF","2016.12.23",1,"360205","轻工制造","包装印刷","纸包装"
"603059.SH","倍加洁","BJJ","2018.03.02",1,"770102","美容护理","个护用品","洗护用品"
"603060.SH","国检集团","GJJT","2016.11.09",1,"460802","社会服务","专业服务","检测服务"
"603061.SH","金海通","JHT","2023.03.03",1,"270108","电子","半导体","半导体设备"
"603062.SH","麦加芯彩","MJXC","2023.11.07",1,"220305","基础化工","化学制品","涂料油墨"
"603063.SH","禾望电气","HWDQ","2017.07.28",1,"630602","电力设备","风电设备","风电零部件"
"603065.SH","宿迁联盛","SQLS","2023.03.21",1,"220309","基础化工","化学制品","其他化学制品"
